number,id,Photo_id,Attractiveness,SSI,RIL,WHR,Photo_Sex
415,25k,7100,4,2.016528926,30.1703163,2.759615385,M
416,26k,7100,3,2.016528926,30.1703163,2.759615385,M
417,27k,7100,1,2.016528926,30.1703163,2.759615385,M
418,28k,7100,2,2.016528926,30.1703163,2.759615385,M
419,29k,7100,2,2.016528926,30.1703163,2.759615385,M
420,30k,7100,2,2.016528926,30.1703163,2.759615385,M
421,1k,8010,5,2.098484848,27.74725275,2.226027397,M
422,2k,8010,1,2.098484848,27.74725275,2.226027397,M
423,3k,8010,3,2.098484848,27.74725275,2.226027397,M
424,4k,8010,4,2.098484848,27.74725275,2.226027397,M
425,5k,8010,3,2.098484848,27.74725275,2.226027397,M
426,6k,8010,1,2.098484848,27.74725275,2.226027397,M
427,7k,8010,3,2.098484848,27.74725275,2.226027397,M
428,8k,8010,5,2.098484848,27.74725275,2.226027397,M
429,9k,8010,2,2.098484848,27.74725275,2.226027397,M
430,10k,8010,3,2.098484848,27.74725275,2.226027397,M
431,11k,8010,2,2.098484848,27.74725275,2.226027397,M
432,12k,8010,3,2.098484848,27.74725275,2.226027397,M
433,13k,8010,1,2.098484848,27.74725275,2.226027397,M
434,14k,8010,5,2.098484848,27.74725275,2.226027397,M
435,15k,8010,1,2.098484848,27.74725275,2.226027397,M
436,16k,8010,2,2.098484848,27.74725275,2.226027397,M
437,17k,8010,2,2.098484848,27.74725275,2.226027397,M
438,18k,8010,1,2.098484848,27.74725275,2.226027397,M
439,19k,8010,5,2.098484848,27.74725275,2.226027397,M
440,20k,8010,2,2.098484848,27.74725275,2.226027397,M
441,21k,8010,3,2.098484848,27.74725275,2.226027397,M
442,22k,8010,2,2.098484848,27.74725275,2.226027397,M
443,23k,8010,1,2.098484848,27.74725275,2.226027397,M
444,24k,8010,2,2.098484848,27.74725275,2.226027397,M
445,25k,8010,3,2.098484848,27.74725275,2.226027397,M
446,26k,8010,1,2.098484848,27.74725275,2.226027397,M
447,27k,8010,2,2.098484848,27.74725275,2.226027397,M
448,28k,8010,1,2.098484848,27.74725275,2.226027397,M
449,29k,8010,1,2.098484848,27.74725275,2.226027397,M
450,30k,8010,2,2.098484848,27.74725275,2.226027397,M
451,1k,8020,2,1.924242424,40.49382716,3.12244898,M
452,2k,8020,1,1.924242424,40.49382716,3.12244898,M
453,3k,8020,2,1.924242424,40.49382716,3.12244898,M
454,4k,8020,1,1.924242424,40.49382716,3.12244898,M
455,5k,8020,3,1.924242424,40.49382716,3.12244898,M
456,6k,8020,1,1.924242424,40.49382716,3.12244898,M
457,7k,8020,1,1.924242424,40.49382716,3.12244898,M
458,8k,8020,1,1.924242424,40.49382716,3.12244898,M
459,9k,8020,2,1.924242424,40.49382716,3.12244898,M
460,10k,8020,1,1.924242424,40.49382716,3.12244898,M
461,11k,8020,1,1.924242424,40.49382716,3.12244898,M
462,12k,8020,1,1.924242424,40.49382716,3.12244898,M
463,13k,8020,1,1.924242424,40.49382716,3.12244898,M
464,14k,8020,4,1.924242424,40.49382716,3.12244898,M
465,15k,8020,2,1.924242424,40.49382716,3.12244898,M
466,16k,8020,1,1.924242424,40.49382716,3.12244898,M
467,17k,8020,1,1.924242424,40.49382716,3.12244898,M
468,18k,8020,2,1.924242424,40.49382716,3.12244898,M
469,19k,8020,2,1.924242424,40.49382716,3.12244898,M
470,20k,8020,1,1.924242424,40.49382716,3.12244898,M
471,21k,8020,3,1.924242424,40.49382716,3.12244898,M
472,22k,8020,2,1.924242424,40.49382716,3.12244898,M
473,23k,8020,1,1.924242424,40.49382716,3.12244898,M
474,24k,8020,1,1.924242424,40.49382716,3.12244898,M
